1668;ЮБИЛEЙ;3;1;0;0;0;1;;;;;;;;;;234.60;-62.26
1669;ПPABOX;3;1;0;0;0;1;;;;22.0;8.0;;;;;230.68;-64.01
1675;Ю.XAPAMП;3;1;0;0;0;1;;;;69.0;26.0;;;;;217.83;-63.25
1680;;3;1;0;0;0;1;;;;;;;;;;238.30;-59.09
1684;CEДAЯX;3;1;0;0;0;1;;;;;;;;;;236.31;-60.83
1690;CEBEPH;3;1;0;0;0;1;;;;84.0;25.0;;;;;218.97;-62.56
1704;TABДA;4;1;0;0;0;1;;;;89.0;30.0;;;;;223.17;-42.90
1706;COTHИK;4;1;0;0;0;1;;;15.0;109.0;24.0;1708.0;;15.0;15.0;236.57;-45.30
1708;KPГПЗ-3;4;1;0;0;0;1;;;-0.0;;;;;;;229.07;-52.29
1709;KГПЗ-4,5;4;1;0;0;0;1;;;0.0;;;;;;;231.11;-52.22
1710;HOBAЯ;4;1;0;0;0;1;;;;129.0;20.0;;;;;228.78;-52.73
1714;BAHДMTO;4;1;0;0;0;1;;;;119.0;17.0;;;;;228.96;-53.16
1716;XOPAAЖ;4;1;0;0;0;1;;;;149.0;23.0;;;;;230.65;-52.07
1720;KAPTOПЬ;4;1;0;0;0;1;;;;74.0;46.0;-793.0;;;;224.33;-56.48
1722;ЯГOД;4;1;0;0;0;1;;;;36.0;31.0;;;;;233.52;-47.29
1724;KPГПЗ1,2;4;1;0;0;0;1;;;0.0;;;;;;;229.78;-52.60
1740;ИЛЬKOBO;4;1;0;0;0;1;;;;;;;;;;234.19;-48.45
1926;ЗABOД;7;1;0;0;0;1;;;;132.0;81.0;;;;;221.75;-40.80
1938;KHЯЖEBO;7;1;0;0;0;1;;;;130.0;75.0;;;;;228.81;-39.36
2001;ПOЛИMEP;7;1;0;0;0;1;;;;;;;;;;225.44;-48.49
